Recipe,URL,Ingredients
Recipe,URL,Ingredients
Shredded chicken,https://www.bbcgoodfood.com/recipes/shredded-chicken,"1 ½ chicken stock cubes
2 chicken breasts, around 400g"

Rotisserie Chicken Recipe,https://www.seriouseats.com/basic-rotisserie-chicken-recipe,"1 whole chicken, about 4 pounds
2 tablespoons kosher salt
2 tablespoons butter, melted"

Teriyaki Chicken,http://www.davidlebovitz.com/2012/12/chicken-teriyaki-recipe-japanese-farm-food/,"1/2 cup (125ml) mirin
1/2 cup (125ml) soy sauce
One 2-inch (5cm) piece of fresh ginger, peeled and grated
2-pounds (900g) boneless chicken thighs (4-8 thighs, depending on size)"

Chicken Paprikash,http://norecipes.com/recipe/chicken-paprikash/,"640 grams chicken - drumsticks and thighs ( 3 whole chicken legs cut apart)
1/2 teaspoon salt
1/4 teaspoon black pepper
1 tablespoon butter – cultured unsalted (or olive oil)
240 grams onion sliced thin (1 large onion)
70 grams Anaheim pepper chopped (1 large pepper)
25 grams paprika (about 1/4 cup)
1 cup chicken stock
1/2 teaspoon salt
1/2 cup sour cream
1 tablespoon flour – all-purpose"

Baked Chicken,http://www.marthastewart.com/318981/baked-chicken,"6 bone-in chicken breast halves, or 6 chicken thighs and wings, skin-on
1/2 teaspoon coarse salt
1/2 teaspoon Mrs. Dash seasoning
1/4 teaspoon freshly ground black pepper"

peasant chicken,https://food52.com/recipes/26667-peasant-chicken,"1 chicken
2-3 potatoes
1 onion
3-4 mushrooms"

Brick Chicken,https://www.saveur.com/article/Recipes/Brick-Chicken/,"1 (4-lb.) chicken, halved, backbone, ribcage, and thighbones removed
Kosher salt and freshly ground black pepper, to taste
2 tbsp. canola oil
1⁄3 cup chicken broth
1 tbsp. lemon juice"

Catalan Chicken,http://www.bonappetit.com/columns/breadwinner/article/how-to-get-your-kids-to-eat-sauce-let-them-cook-it-themselves,"1 whole 4-pound chicken, quartered
8 slices bacon
30 cloves garlic
3 lemons, peeled, rinds thinly sliced and reserved
½ cup Banyuls or another fortified dessert wine
1 cup veal or chicken stock"

Grilled Butterflied Chicken Recipe,http://www.seriouseats.com/recipes/2012/08/grilled-butterflied-chicken-recipe.html,"1 whole chicken, 3 1/2 to 4 pounds
Kosher salt and freshly ground black pepper"

Homemade Essence of Chicken,https://food52.com/recipes/81195-homemade-essence-of-chicken,"1 whole chicken (or 3 chicken carcasses), cut up into chunks
1/3 cup water
2 pinches salt"

Chicken Teriyaki,http://www.saveur.com/article/Recipes/Chicken-Teriyaki,"1 tbsp. vegetable oil
4 pieces chicken, trimmed, skin pierced with a fork
½ cup Teriyaki Sauce"

Chicken Vesuvio Recipe,https://www.seriouseats.com/chicken-vesuvio-recipe,"1/2 cup olive oil
5 cloves garlic, peeled
2 large russet potatoes, peeled and cut into chunks
1 3-4 pound chicken, cut into 8 pieces (or 3 pound chicken legs)
3/4 cup white wine
3/4 cup chicken stock
3 tablespoons chopped parsley
1 tablespoon dried oregano
Salt and pepper
1 cup frozen peas, thawed"

Chicken Fritz,https://food52.com/recipes/24370-chicken-fritz,"1/4 cup safflower or olive oil
1 large onion, chopped
2 cups shredded cooked chicken (preferably leftover from making chicken soup)
kosher salt
Freshly ground pepper
1 teaspoon sweet paprika"

Grilled Butterflied Chicken Recipe,https://www.seriouseats.com/grilled-butterflied-chicken-recipe,"1 whole chicken, 3 1/2 to 4 pounds (1.6 to 1.8kg)
Kosher salt and freshly ground black pepper"

Fig & Balsamic Chicken,https://food52.com/recipes/81877-fig-balsamic-chicken,"2 Shallots
2 teaspoons Fresh Rosemary
2 Chicken Breasts
3.5 tablespoons Balsamic Vinegar
4 tablespoons Fig Jam
1/3 cup Chicken Stock"

Schmaltz (Rendered Chicken Fat) Recipe,http://www.seriouseats.com/recipes/2015/04/schmaltz-rendered-chicken-fat-recipe.html,"3/4 pound chicken fat and skin, finely chopped
1 medium onion, chopped"

Chicken Feet Stock,https://food52.com/recipes/3478-chicken-feet-stock,"1 Chicken carcass, from a roasted chicken
2 or more Chicken feet
1 large yellow onion, quartered
4 green onions or 2 leeks
1 tablespoon black peppercorns, whole
1 tablespoon crushed red pepper flakes"

Drunken Chicken Recipe,https://www.seriouseats.com/drunken-chicken,"2 whole chicken parts (two breasts, two leg/thighs, or a mix), totaling about 2 pounds
One 1-inch piece of ginger
Kosher salt
1 cup Shaoxing rice wine
1 cup chicken broth from simmering"

Coronation Chicken,https://food52.com/recipes/28606-coronation-chicken,"2 pieces poached chicken breasts
1 piece minced shallot
2 teaspoons madras curry powder
1/4 cup sliced sun dried tomatoes
4 tablespoons mango chutney
1/2 cup chicken broth or water
1 tablespoon creme fraiche or yogurt"

Chicken Heart Yakitori Recipe,https://www.seriouseats.com/chicken-heart-yakitori-recipe,"1 pound chicken hearts
For the sauce:
2 chicken carcasses cut into 6 to 8 pieces
1 cup sake
1 cup mirin
1 to 1/2 cups soy sauce, depending on darkness
3 tablespoons sugar
Freshly ground black pepper"

Recipe,URL,Ingredients
Shredded chicken,https://www.bbcgoodfood.com/recipes/shredded-chicken,"1 ½ chicken stock cubes
2 chicken breasts, around 400g"

Rotisserie Chicken Recipe,https://www.seriouseats.com/basic-rotisserie-chicken-recipe,"1 whole chicken, about 4 pounds
2 tablespoons kosher salt
2 tablespoons butter, melted"

Teriyaki Chicken,http://www.davidlebovitz.com/2012/12/chicken-teriyaki-recipe-japanese-farm-food/,"1/2 cup (125ml) mirin
1/2 cup (125ml) soy sauce
One 2-inch (5cm) piece of fresh ginger, peeled and grated
2-pounds (900g) boneless chicken thighs (4-8 thighs, depending on size)"

Chicken Paprikash,http://norecipes.com/recipe/chicken-paprikash/,"640 grams chicken - drumsticks and thighs ( 3 whole chicken legs cut apart)
1/2 teaspoon salt
1/4 teaspoon black pepper
1 tablespoon butter – cultured unsalted (or olive oil)
240 grams onion sliced thin (1 large onion)
70 grams Anaheim pepper chopped (1 large pepper)
25 grams paprika (about 1/4 cup)
1 cup chicken stock
1/2 teaspoon salt
1/2 cup sour cream
1 tablespoon flour – all-purpose"

Baked Chicken,http://www.marthastewart.com/318981/baked-chicken,"6 bone-in chicken breast halves, or 6 chicken thighs and wings, skin-on
1/2 teaspoon coarse salt
1/2 teaspoon Mrs. Dash seasoning
1/4 teaspoon freshly ground black pepper"

peasant chicken,https://food52.com/recipes/26667-peasant-chicken,"1 chicken
2-3 potatoes
1 onion
3-4 mushrooms"

Brick Chicken,https://www.saveur.com/article/Recipes/Brick-Chicken/,"1 (4-lb.) chicken, halved, backbone, ribcage, and thighbones removed
Kosher salt and freshly ground black pepper, to taste
2 tbsp. canola oil
1⁄3 cup chicken broth
1 tbsp. lemon juice"

Catalan Chicken,http://www.bonappetit.com/columns/breadwinner/article/how-to-get-your-kids-to-eat-sauce-let-them-cook-it-themselves,"1 whole 4-pound chicken, quartered
8 slices bacon
30 cloves garlic
3 lemons, peeled, rinds thinly sliced and reserved
½ cup Banyuls or another fortified dessert wine
1 cup veal or chicken stock"

Grilled Butterflied Chicken Recipe,http://www.seriouseats.com/recipes/2012/08/grilled-butterflied-chicken-recipe.html,"1 whole chicken, 3 1/2 to 4 pounds
Kosher salt and freshly ground black pepper"

Homemade Essence of Chicken,https://food52.com/recipes/81195-homemade-essence-of-chicken,"1 whole chicken (or 3 chicken carcasses), cut up into chunks
1/3 cup water
2 pinches salt"

Chicken Teriyaki,http://www.saveur.com/article/Recipes/Chicken-Teriyaki,"1 tbsp. vegetable oil
4 pieces chicken, trimmed, skin pierced with a fork
½ cup Teriyaki Sauce"

Chicken Vesuvio Recipe,https://www.seriouseats.com/chicken-vesuvio-recipe,"1/2 cup olive oil
5 cloves garlic, peeled
2 large russet potatoes, peeled and cut into chunks
1 3-4 pound chicken, cut into 8 pieces (or 3 pound chicken legs)
3/4 cup white wine
3/4 cup chicken stock
3 tablespoons chopped parsley
1 tablespoon dried oregano
Salt and pepper
1 cup frozen peas, thawed"

Chicken Fritz,https://food52.com/recipes/24370-chicken-fritz,"1/4 cup safflower or olive oil
1 large onion, chopped
2 cups shredded cooked chicken (preferably leftover from making chicken soup)
kosher salt
Freshly ground pepper
1 teaspoon sweet paprika"

Grilled Butterflied Chicken Recipe,https://www.seriouseats.com/grilled-butterflied-chicken-recipe,"1 whole chicken, 3 1/2 to 4 pounds (1.6 to 1.8kg)
Kosher salt and freshly ground black pepper"

Fig & Balsamic Chicken,https://food52.com/recipes/81877-fig-balsamic-chicken,"2 Shallots
2 teaspoons Fresh Rosemary
2 Chicken Breasts
3.5 tablespoons Balsamic Vinegar
4 tablespoons Fig Jam
1/3 cup Chicken Stock"

Schmaltz (Rendered Chicken Fat) Recipe,http://www.seriouseats.com/recipes/2015/04/schmaltz-rendered-chicken-fat-recipe.html,"3/4 pound chicken fat and skin, finely chopped
1 medium onion, chopped"

Chicken Feet Stock,https://food52.com/recipes/3478-chicken-feet-stock,"1 Chicken carcass, from a roasted chicken
2 or more Chicken feet
1 large yellow onion, quartered
4 green onions or 2 leeks
1 tablespoon black peppercorns, whole
1 tablespoon crushed red pepper flakes"

Drunken Chicken Recipe,https://www.seriouseats.com/drunken-chicken,"2 whole chicken parts (two breasts, two leg/thighs, or a mix), totaling about 2 pounds
One 1-inch piece of ginger
Kosher salt
1 cup Shaoxing rice wine
1 cup chicken broth from simmering"

Coronation Chicken,https://food52.com/recipes/28606-coronation-chicken,"2 pieces poached chicken breasts
1 piece minced shallot
2 teaspoons madras curry powder
1/4 cup sliced sun dried tomatoes
4 tablespoons mango chutney
1/2 cup chicken broth or water
1 tablespoon creme fraiche or yogurt"

Chicken Heart Yakitori Recipe,https://www.seriouseats.com/chicken-heart-yakitori-recipe,"1 pound chicken hearts
For the sauce:
2 chicken carcasses cut into 6 to 8 pieces
1 cup sake
1 cup mirin
1 to 1/2 cups soy sauce, depending on darkness
3 tablespoons sugar
Freshly ground black pepper"

